True Labels,Predicted Labels,Original Overviews
"Animation, Drama, Romance, TV Movie",Drama,"At Kichijōji Station, Tokyo, Taku Morisaki glimpses a familiar woman on the platform opposite boarding a train. Later, her photo falls from a shelf as he exits his apartment before flying to Kōchi Prefecture. Picking it up, he looks at it briefly before leaving. As the aeroplane takes off, he narrates the events that brought her into his life..."
"Action, Adventure, Fantasy","Action, Adventure, Animation, Fantasy","A story of a legendary battle, where seventeen fearless warriors defend their land against an army of thousands well-trained soldiers. In 13th-century Mongol warrior hordes and their leader, Batu Khan, control most of the known world. As the Mongols move towards Europe they invade the last Russian principality standing in their way. Little do they know, their plans are about to be ruined by a small detachment of heroic strong men led by a mysterious brave warrior. This is a story about courage, endurance and self-sacrifice for the sake of one's country. This is the story of Evpaty the Furious."
"Adventure, Animation, Comedy","Adventure, Animation, Comedy, Family, Fantasy","Toto, now a chicken, tries to live as such, while Willy and Bibi deal some problems between them. A sorcerer egg desert needs a chicken heart to cast a spell. He sends his armies of eggs vulture, ostrich and scorpion to kidnap Toto. His friends embark on a journey through the desert to rescue the chicken, where they live countless adventures"
"Action, Crime, Thriller","Action, Crime, Thriller","A briefcase with undisclosed contents – sought by Irish terrorists and the Russian mob – makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries, or 'ronin', and gives them the thorny task of recovering the case."
"Comedy, Drama, Romance","Comedy, Drama, Romance","After moving to Palm Springs, a young married couple puts their love to the test when they discover that their neighbors are swingers."
"Drama, Science Fiction, Thriller","Action, Science Fiction, Thriller","After a sudden global event wipes out all electronics and takes away humankind’s ability to sleep, chaos quickly begins to consume the world. Only Jill, an ex-soldier with a troubled past, may hold the key to a cure in the form of her own daughter. The question is, can Jill safely deliver her daughter and save the world before she herself loses her mind."
"Animation, Music","Adventure, Animation, Comedy, Family, Fantasy","With new friends in a new kingdom, Barbie learns what it means to be herself when she trades places with a royal lookalike in this musical adventure."
"Comedy, Family, Fantasy","Comedy, Drama, Romance","Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives."
"Action, Crime, Thriller","Action, Crime, Thriller",A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.
"Drama, Western","Action, Crime, Drama, Thriller","After crossing the border illegally for work, Miguel, a hard-working father and devoted husband, finds himself wrongfully accused of murdering a former sheriff’s wife. After learning of his imprisonment, Miguel’s pregnant wife tries to come to his aid and lands in the hands of corrupt coyotes who hold her for ransom. Dissatisfied with the police department’s investigation, the former sheriff tries to uncover the truth about his wife’s death and discovers disturbing evidence that will destroy one family’s future, or tear another’s apart."
"Comedy, Fantasy, Romance","Comedy, Drama, Romance","A successful businessman falls in love with the girl of his dreams. There's one big complication though; he's fallen hook, line and sinker for a mermaid."
"Horror, Thriller","Drama, Horror, Mystery, Thriller","A harmless game of ""Truth or Dare"" among friends turns deadly when someone—or something—begins to punish those who tell a lie—or refuse the dare."
"Comedy, Romance","Comedy, Romance","Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?"
Drama,"Comedy, Drama, Romance","From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit."
"Adventure, Comedy, Drama","Drama, Romance","When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican bobsled team."
"Drama, Romance, Thriller","Crime, Drama, Thriller","A psychiatrist becomes romantically involved with the sister of one of his patients, but the influence of her controlling gangster husband threatens to destroy them both."
"Crime, Drama","Action, Adventure, Thriller","As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor."
"Adventure, Animation, Comedy, Family","Adventure, Animation, Comedy, Family, Fantasy","The continuing adventures of Lilo, a little Hawaiian girl, and Stitch, the galaxy's most-wanted extraterrestrial. Stitch, Pleakley, and Dr. Jumba are all part of the household now, but what Lilo and Stitch don't know is that Dr. Jumba brought his other alien ""experiments"" to Hawaiʻi as well."
"Action, Drama","Action, Crime, Drama, Thriller","When Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge."
"Animation, Comedy","Adventure, Animation, Comedy, Family, Fantasy",Cartman locks horns with his mom in a battle of wills while an epic conflict unfolds that threatens South Park’s very existence.
Action,"Action, Crime, Thriller","Copper Jack Stone purposefully orchestrates a bank robbery in order to be thrown into prison with the notorious Russian kingpin Balam. Balam is more than just a mob criminal; he's a very cunning and dangerous lord who controls the police force from behind bars. Balam lives in prison as a cover for his real power, which is King of the city. His cell is a lavish private room built specifically for him, inaccessible to most in the depths of the prison structure. Even the warden fears venturing into his area of the prison. However, even surrounded by his loyal henchmen and guards in his sectioned off fortress, Balam doesn't know Jack is coming for him to avenge his family, who Balam murdered in cold blood. Balam is tough... but Jack is tougher."
"Mystery, Romance, Thriller","Drama, Horror, Mystery, Thriller","A reckless night of indiscretion and lust leads a woman into the dark world of blackmail and murder. When revealing photos of her sexual tryst unexpectedly surface, Katy is forced to submit to whatever her tormentors desire."
Horror,"Drama, Horror, Thriller","A family of sadistic butchers lives deep inside the backcountry. From the dead of winter to the dog days of summer, anyone who crosses their path is dead meat."
"Adventure, Animation, Comedy, TV Movie","Adventure, Animation, Comedy, Family","When a scam goes horribly wrong and leaves the neighborhood kids furious, the Eds embark on a journey to find Eddy's brother in the ""Ed, Edd, n Eddy"" series finale."
"Action, Adventure, Fantasy","Action, Adventure, Animation, Fantasy","Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe."
"Action, Crime, Science Fiction","Action, Science Fiction, Thriller","Simon Phoenix, a violent criminal cryogenically frozen in 1996, escapes during a parole hearing in 2032 in the utopia of San Angeles. Police are incapable of dealing with his violent ways and turn to his captor, who had also been cryogenically frozen after being wrongfully accused of killing 30 innocent people while apprehending Phoenix."
"Adventure, Family, Fantasy","Action, Adventure, Animation, Family, Fantasy","When Clara’s mother leaves her a mysterious gift, she embarks on a journey to four secret realms—where she discovers her greatest strength could change the world."
"Action, Adventure, Animation, Fantasy","Action, Adventure, Animation, Fantasy","Guts, an immensely strong sword-for-hire, has little direction in his life, simply fighting one battle after the next. However, this all changes suddenly when he meets and is bested by Griffith, a beautiful and charismatic young man who leads the Band of the Hawk mercenary army. After Guts joins the Band and the relationship between the two men begins to blossom, Casca, the tough, lone swordswoman in the Band of the Hawk, struggles to accept Guts and the influence he has on the world around her.  While the two men begin to fight together, Griffith continues to rise to power, all seemingly in order to reach his mysterious, prophesied goals. What lengths will Guts and Griffith go to in order to reach these goals, and where will fate take the two men?"
"Drama, Romance","Drama, Romance","Eric, a gifted sculptor, has a stormy, erotic, and star-crossed romance with a beautiful young woman named Olga."
Drama,"Drama, Thriller","Nami is a department store worker who agrees to stand in for a friend in a magazine photo-shoot, which turns out to be for an S&M magazine. When the photos are published, she is sacked and her lover abandons her."
"Crime, Drama, Thriller","Action, Comedy, Crime","Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!"
"Action, Adventure, Fantasy, Thriller","Action, Comedy, Crime, Thriller","Morioh, 1999—a normally quiet and peaceful town has recently become a hotbed of strange activity. Jōtarō Kūjō, now a marine biologist, heads to the mysterious town to meet Jōsuke Higashikata. While the two may seem like strangers at first, Jōsuke is actually the illegitimate child of Jōtarō's grandfather, Joseph Joestar. When they meet, Jōtarō realizes that he may have more in common with Jōsuke than just a blood relation. Along with the mild-mannered Kōichi Hirose and the boisterous Okuyasu Nijimura, the group dedicates themselves to investigating recent disappearances and other suspicious occurrences within Morioh. Aided by the power of Stands, the four men will encounter danger at every street corner, as it is up to them to unravel the town's secrets, before another occurs."
Comedy,Documentary,"Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture."
"Crime, Drama, Thriller","Action, Crime, Drama, Thriller","Over the course of one fateful day, a corrupt businessman and his socialite wife race to save their daughter from a notorious crime lord."
"Action, Mystery, Science Fiction, Thriller","Action, Adventure, Science Fiction, Thriller","Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape."
"Adventure, Horror, Thriller","Horror, Thriller","A group of student activists travel from New York City to the Amazon to save the rainforest.  However, once they arrive in this vast green landscape, they soon discover that they are not alone… and that no good deed goes unpunished."
Thriller,"Crime, Drama, Mystery, Thriller",A young videographer uses his camera to capture intimate moment of lovers visiting a beautiful and peaceful lake. He uses the captured videos for his own benefit of earning cash. It's just a matter of time until his dark practice will be revealed and dealt with accordingly.
"Action, Adventure, Drama, Thriller","Action, Crime, Drama, Thriller","A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house."
"Action, Crime, Thriller","Action, Crime, Thriller","As Los Angeles prepares for Halloween, mask-wearing armed robbers critically wound detective James Knight’s partner in a shootout following a heist. With Knight in hot pursuit, the bandits flee L.A. for New York, where the detective’s dark past collides with his present case and threatens to tear his world apart…unless redemption can claim Knight first."
Drama,Drama,"In the 15th century, in a poor Italian village, the monks of a modest convent take up an abandoned baby. Unfortunately, for all their efforts, they prove unable to trace his parents. So they set up providing tender loving care to the little boy. Marcellino lives a happy life among the men of God but, as he grows up, he misses his mother more and more."
"Adventure, Animation, Fantasy","Action, Adventure, Animation, Science Fiction","After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth."
"Action, Thriller","Action, Adventure, Thriller","An elite group of American operatives, aided by a top-secret tactical command team, must transport an asset who holds life-threatening information to an extraction point 22 miles away through the hostile streets of an Asian city."
"Adventure, Animation, Comedy, Family, Fantasy","Adventure, Animation, Comedy, Family, Fantasy","Orphaned at birth and raised by storks, the teenage sparrow Richard believes he is one of them. But when the time comes to migrate to Africa, his stork family is forced to reveal his true identity and leave him behind in the forest, since he is not a migratory bird and would not survive the journey. Determined to prove he is a stork after all, Richard ventures south on his own. But only with the help of Olga, an eccentric owl with an imaginary friend and Kiki, a narcissistic, disco-singing parakeet, does he stand a chance to reach his goal and learn to accept who he really is."
Comedy,"Adventure, Animation, Comedy, Family, Fantasy","When loser Marvin Mange is involved in a horrible car accident, he's brought back to life by a deranged scientist as half man and half animal. His newfound powers are awesome -- but their adverse side effects could take over his life. Now, Marvin must fight to control his crazy primal urges around his new squeeze, Rianna, and his rival, Sgt. Sisk, who both think he's one cool cat."
"Comedy, Romance","Comedy, Romance","It’s the summer before Elle heads to college, and she has a secret decision to make. Elle has been accepted into Harvard, where boyfriend Noah is matriculating, and also Berkeley, where her BFF Lee is headed and has to decide if she should stay or not."
Thriller,"Drama, Thriller","A psychiatrist, whose client commits suicide, finds his family life disrupted after introducing her surviving brother to his wife and daughter."
"Drama, Horror, Science Fiction","Action, Horror, Thriller","A teenage girl is captured by a giant mutated squid-like creature that appears from Seoul's Han River after toxic waste was dumped in it, prompting her family into a frantic search for her."
"Animation, Comedy, Family, Mystery, Science Fiction","Action, Adventure, Animation, Family, Fantasy",Mystery Incorporated teams up with Krypto the superdog to investigate the disappearance of the Justice League.
"Adventure, Family","Adventure, Animation, Comedy, Family, Fantasy","Dakota, an ex-service dog, joins single mum Kate and her daughter Alex to live on their small-town family farm. Dakota quickly adjusts to her new home and becomes somewhat of a local hero, soon becoming inseparable from Alex. But when the farm’s existence is threatened by the town’s rogue sheriff, Dakota must help the family band together and save the land."
Comedy,"Horror, Thriller","When a group of teenagers goes on a spring break camping trip, an unfortunate accident sets off a race to save their friend’s most prized possession."
"Adventure, Family, Fantasy","Action, Adventure, Animation, Fantasy","Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures."
"Action, Adventure, Fantasy","Adventure, Animation, Comedy, Family, Fantasy","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug."
Comedy,Documentary,Chris Rock makes comedy history as he performs stand-up in real time for Netflix’s first global live-streaming event.
"Comedy, Crime, Mystery",Comedy,"Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party -- complete with fake thugs and federal agents. So when Brooks gets kidnapped, it's all supposed to be part of the game. As the competitors set out to solve the case, they start to learn that neither the game nor Brooks are what they seem to be. The friends soon find themselves in over their heads as each twist leads to another unexpected turn over the course of one chaotic night."
Drama,"Action, Adventure, Thriller","It's called the House of Evils, where beasts in human flesh prowl the corridors and the most dangerous residents aren't the luscious inmates, but the predatory guards. For the crime of assaulting her lover, Saya Mizushima has been sentenced to three years in the most brutal prison facility in Japan. It wasn't supposed to be a life sentence, but unless the woman now known as Inmate 611 can learn how to hold her own against both the ruthlessness of her fellow inmates and the brutal harassment of the guards, she's got little chance of walking out with both mind and body intact. Stripped, shackled, but not yet broken, an international chain gang of red hot models and actresses lead by Akira Kiuchi, Harumi Nemoto , Youko Kamon, Yoshimi Asada and Kei Mizutani prepare to march into the flames of the damned in HELLHOLE: INMATE 611!"
Music,Documentary,Features Rev Run as he brings audiences on a hip-hop reimagining of The Nutcracker ballet set in NYC.
"Adventure, Comedy, Family, Romance","Drama, Romance","The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick."
Drama,Documentary,Gifted Hands: The Ben Carson Story is a movie based on the life story of world-renowned neurosurgeon Ben Carson from 1961 to 1987.
"Comedy, Family","Comedy, Romance","Billionaire heir Richie Rich has it all, including Reggie Jackson as a batting coach and Claudia Schiffer as a personal trainer -- but no playmates. What's more, scoundrel Laurence Van Dough is scheming to take over the family empire. Uh-oh! Enter faithful butler Cadbury to save the day."
"Crime, Drama, Thriller","Action, Crime, Thriller","To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them."
"Action, Crime, Drama, Thriller","Action, Crime, Thriller","Erstwhile Special Forces operative Doc Alexander is asked to broker a truce with the Mexican drug cartel in secrecy. When Oklahoma Governor Richard Jeffs celebrates the execution of a high-ranking cartel member on TV, his Chief of Staff and Doc inform him about the peace he just ended. But it’s too late, as Cuco, the cartel’s hatchet man, has set his vengeful sights on Doc’s daughter Dixie."
"Comedy, Drama, Family, Music, Romance, TV Movie","Animation, Comedy, Family, Fantasy","The East High Wildcats are gearing up for big fun as they land the coolest summer jobs imaginable. Troy, Gabriella, Chad, and Taylor have scored sweet gigs at the Lava Springs Country Club owned by Sharpay and Ryan's family. Sharpay's first rule of business: Get Troy. As Troy experiences a life of privilege he's never known, will he give up the Wildcats and Gabriella to rise to the top?"
"Comedy, Romance","Adventure, Animation, Comedy, Family, Fantasy",A medieval English knight is magically transported to present day where he ends up falling for a high school science teacher.
"Animation, Comedy, Family","Adventure, Animation, Comedy, Family, Fantasy",Loki is banished from Asgard once again and must face his toughest opponents yet: the Simpsons and Springfield’s mightiest heroes. The God of Mischief teams up with Bart Simpson in the ultimate crossover event paying tribute to the Marvel Cinematic Universe of superheroes and villains.
"Action, Animation, Comedy, Fantasy","Action, Adventure, Fantasy","The film's story begins when Arata inadvertently touches ""Hermes Apocrypha,"" Lilith's Grimoire. Suddenly, he is enveloped by a bright white light, and a girl appears before him. She calls herself Lilim, and treats both Arata and Lilith as her parents. At the same time she appears, something changes in the world. The forbidden Eternal Library awakens. In the Library is sealed the ultimate culmination of Alchemy, the White Demon Lord. The White Demon Lord plots to eliminate Arata and the Trinity Seven to usurp the position of Demon Lord. Bristling with untold power, the White Demon Lord attacks Arata, and triggers a desperate crisis where Arata and the Trinity Seven must save the world in this last battle."
"Crime, Drama, Mystery, Thriller","Horror, Thriller",A newlywed fears she's going mad when strange things start happening at the family mansion.
"Comedy, Drama","Comedy, Drama, Romance",Three generations of a French family open up about their sexual experiences and desires after young Romain is caught masturbating in his biology class.
Action,"Action, Crime, Drama, Thriller","A story set in Indochina in 1959, a lawless land controlled by the criminal class: Vietnamese warlords and European war-criminals. Den-Dhin-Chan Labor Camp is run by four such dangerous men. The worst prison in the land, it is here that an Irish, former-champion boxer Martin Tillman has made a name for himself fighting tournaments, on which wealthy criminals gamble in high stakes events. When Tillman is due for release, he just wants to return home, but the corrupt forces running the jail will do everything in their power to keep him locked down. When all that Tillman holds dear is taken away in a vicious act of violence, he is forced to confront the men responsible and take his revenge.  The birth of a legend."
"Action, Adventure, Science Fiction, Thriller","Action, Science Fiction, Thriller",A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.
"Action, Romance","Drama, Romance","Hee-jung, a college student, uses up a lot of money on Bitcoin and so she can't pay back her friend, Joo-yeong. Worried, she came to work at a room salon and pays off the money she borrowed. Seeing how Hee-jung is, Joo-yeong tells her she wants to work at the room salon, too. Eventually, they both became aces! Until the vacation ends, they are slowly getting money, their hot services are attracting more and more customers..."
"Drama, History, Music","Drama, History","Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess."
"Comedy, Romance","Comedy, Family","History -- make that high school -- may repeat itself when Marni learns that Joanna, the mean girl from her past, is set to be her sister-in-law. Before the wedding bells toll, Marni must show her brother that a tiger doesn't change its stripes. On Marni's side is her mother, while Joanna's backed by her wealthy aunt."
"Adventure, Science Fiction","Action, Adventure, Animation, Comedy, Family, Fantasy","In a future Earth barren of all flora and fauna, the planet's ecosystems exist only in large pods attached to spacecraft. When word comes in that the pods are to be jettisoned into space and destroyed so that the spacecraft can be reused for commercial purposes, most of the crew of the Valley Forge rejoice at the prospect of going home. Not so for botanist Freeman Lowell who loves the forest and its creatures, so decides to take matters into his own hands to protect what he loves."
"Adventure, Drama, Thriller","Horror, Thriller","Amidst a nuclear war, a plane carrying a group of schoolboys crash lands on a deserted island. With no adult survivors, the boys are forced to fend for themselves. At first they cooperate, but when they split into two separate camps -- one led by the pragmatic Ralph and the other by militaristic Jack -- their society falls into disarray, leading to a disturbing examination of human nature and a chilling conclusion."
"Action, Science Fiction, Thriller","Action, Adventure, Science Fiction",A sheriff's deputy fights an alternate universe version of himself who grows stronger with each alternate self he kills.
"Action, Drama, Thriller","Action, Science Fiction, Thriller","A Tokyo college student is attacked by a ghoul, a super-powered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run."
"Animation, Fantasy, Science Fiction","Action, Adventure, Science Fiction, Thriller","A mysterious virus, nicknamed Medusa, is spreading around Japan, turning its victims into stone. Given the impossibility of finding an immediate cure, the government opts for cryopreserving a select group of patients until they come up with a solution. Kasumi, one of the chosen ones, has been asleep for years and her awakening, more than a bed of roses, is a bed of thorns, and happens in the midst of total chaos where monstrous creatures lie in wait all around."
Comedy,"Action, Adventure, Drama",The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.
"Horror, Science Fiction","Horror, Thriller","Man-eating crocodiles return to the lake as two males and one aggressive female crocodile, which is protecting her nest, wreak havoc on the locals."
"Adventure, Animation, Comedy, Family","Comedy, Family, Fantasy","Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery."
"Animation, Comedy, Family","Adventure, Animation, Comedy, Family, Fantasy",Think you've got what it takes to be the boss? This interactive special puts your skills to the test and matches you up with one of 16 jobs at Baby Corp.
"Action, Adventure, Thriller","Action, Adventure, Thriller","With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude."
Documentary,"Action, Crime, Drama, Thriller","The murder of photographer José Luis Cabezas in the summer of 1997 deeply shakes Argentina, and ends up revealing a mafia scheme in which the political and economic powers  appear to be involved."
"Comedy, Drama, Romance","Comedy, Romance","Carrie, Charlotte, and Miranda are all married now, but they're still up for a little fun in the sun. When Samantha gets the chance to visit one of the most extravagant vacation destinations on the planet and offers to bring them all along, they surmise that a women-only retreat may be the perfect excuse to eschew their responsibilities and remember what life was like before they decided to settle down."
"Science Fiction, Thriller","Crime, Drama, Mystery, Thriller",Four insomniac med school students are lured into a neuroscience experiment that spirals out of control and must find a way out before it’s too late.
"Action, Fantasy","Drama, History","Ning Tsai-Shen, a humble tax collector, arrives in a small town to carry out his work. No one is willing to give him shelter for the night, so he ends up in the haunted Lan Ro temple. There, he meets Taoist Swordsman Yen Che-Hsia, and the beautiful Nieh Hsiao-Tsing, with whom he falls in love."
"Action, Comedy, Science Fiction, Thriller","Action, Comedy, Crime","Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent."
Comedy,Comedy,"Boyd Mitchler and his family must spend Christmas with his estranged family of misfits. Upon realizing that he left all his son's gifts at home, he hits the road with his dad in an attempt to make the 8-hour round trip before sunrise."
"Adventure, Animation, Comedy, Family, Fantasy",Drama,"When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe."
Comedy,"Drama, Horror, Thriller",Sneaking out. Hooking up. Melting down. The cast and crew of a blockbuster action franchise attempt to shoot a sequel while quarantining at a posh hotel.
"Drama, Family","Drama, Thriller","After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At first reluctant to shelter the girl, Osamu’s wife agrees to take care of her after learning of the hardships she faces. Although the family is poor, barely making enough money to survive through petty crime, they seem to live happily together until an unforeseen incident reveals hidden secrets, testing the bonds that unite them."
"Crime, Drama, Thriller","Action, Adventure, Thriller","In November 2015, a series of unprecedented and deadly attacks hits Paris. The anti-terrorist police led by Heloise and her chief commander Fred - face an unprecedented level of pressure: in a race against the clock, they must find the perpetrators of the attacks as quickly as possible before they can strike again, travelling across Europe and beyond in one of the biggest manhunts in history."
"Drama, Romance","Crime, Drama, Thriller","You have never been to a strip-club. But you have been willing to... at least once...You didn’t dare, that’s all. This film tells the story of someone who dared."
"Drama, Family, Fantasy, Romance","Adventure, Animation, Comedy, Drama, Family, Fantasy","When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods."
"Drama, Romance","Drama, Romance","As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning."
Documentary,"Comedy, Horror, Thriller",A short kid from a Canadian army base becomes the international pop culture darling of the 1980s—only to find the course of his life altered by a stunning diagnosis. What happens when an incurable optimist confronts an incurable disease?
"Action, Adventure, Comedy","Adventure, Animation, Comedy, Family, Fantasy","When Edward, Peter, Lucy and Susan each follow their own path, they end up finding themselves at Willy's Chocolate factory. Walking through a wardrobe, they discover the world of Gnarnia, which is ruled by the White Bitch. Meeting up with characters such as Harry Potter and Captain Jack Swallows, the newly reunited family must team up with Aslo, a wise-but-horny lion to stop the white bitch's army."
"Action, Comedy","Action, Adventure, Comedy","After being punished for getting into trouble, a mischievous young man is sent to train under a brutal, but slovenly old beggar, who teaches him the secret of the Drunken Fist."
"Drama, Thriller","Crime, Drama, Thriller","Working-class waitress Slim thought she was entering a life of domestic bliss when she married Mitch, the man of her dreams. After the arrival of their first child, her picture perfect life is shattered when she discovers Mitch's hidden possessive dark side, a controlling and abusive alter ego that can turn trust, love and tranquility into terror. Terrified for her child's safety, Slim flees with her daughter. Relentless in his pursuit and enlisting the aid of lethal henchmen, Mitch continually stalks the prey that was once his family."
Drama,Drama,"Based on the best selling autobiography by Irish expat Frank McCourt, Angela's Ashes follows the experiences of young Frankie and his family as they try against all odds to escape the poverty endemic in the slums of pre-war Limerick. The film opens with the family in Brooklyn, but following the death of one of Frankie's siblings, they return home, only to find the situation there even worse. Prejudice against Frankie's Northern Irish father makes his search for employment in the Republic difficult despite his having fought for the IRA, and when he does find money, he spends the money on drink."
Horror,"Crime, Drama, Mystery, Thriller","A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair."
"Adventure, Fantasy, Horror","Comedy, Drama","Adventurous filmmaker, Carl Denham, sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to displayed on Broadway as Kong, the eighth wonder of the world."
"Action, Adventure, Science Fiction, Thriller","Action, Adventure, Science Fiction","Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target."
"Drama, Fantasy, Horror, Mystery, Thriller","Horror, Thriller",An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.
"Animation, Drama, Family","Adventure, Animation, Comedy, Family, Fantasy","Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends."
"Animation, Comedy, Family","Animation, Comedy, Family, Fantasy","Wallace's whirlwind romance with the proprietor of the local wool shop puts his head in a spin, and Gromit is framed for sheep-rustling in a fiendish criminal plot."
"Adventure, Animation, Family, Fantasy","Adventure, Animation, Comedy, Family, Fantasy","Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good."
"Action, Science Fiction, Thriller","Action, Adventure, Thriller","Jackie Chan stars as a hardened special forces agent who fights to protect a young woman from a sinister criminal gang. At the same time, he feels a special connection to the young woman, like they met in a different life."
